epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
38,0.0319944,0.00364035,0,0,2613,274,749,0.83624,0.905082,0.777131,0.833871,0.403206,0.0184344,0.00316552,0,0,0.00728717,0.00728717,0.00728717,0,0,0,0,0,0,0,0,0,0
39,0.0319542,0.00361738,0,0,2667,252,695,0.849175,0.913546,0.793278,0.844891,0.400421,0.0185032,0.00313448,0,0,0.00715656,0.00715656,0.00715656,0,0,0,0,0,0,0,0,0,0
40,0.0312401,0.00354014,0,0,2635,239,727,0.845053,0.916834,0.783695,0.847541,0.408897,0.0182954,0.00306751,0,0,0.00702432,0.00702432,0.00702432,0,0,0,0,0,0,0,0,0,0
41,0.0309557,0.00353235,0,0,2641,215,721,0.849468,0.92472,0.785542,0.846272,0.418604,0.0181249,0.00308389,0,0,0.00689058,0.00689058,0.00689058,0,0,0,0,0,0,0,0,0,0
42,0.0302731,0.00351104,0,0,2702,235,660,0.857911,0.919986,0.803683,0.85585,0.42207,0.0178966,0.00306538,0,0,0.00675546,0.00675546,0.00675546,0,0,0,0,0,0,0,0,0,0
43,0.0303463,0.00345538,0,0,2705,244,657,0.857226,0.917243,0.804581,0.858206,0.416786,0.0179863,0.00305486,0,0,0.0066191,0.0066191,0.0066191,0,0,0,0,0,0,0,0,0,0
44,0.0307809,0.00344941,0,0,2689,263,673,0.851736,0.910857,0.799822,0.851253,0.420475,0.0178636,0.00305748,0,0,0.00648164,0.00648164,0.00648164,0,0,0,0,0,0,0,0,0,0
45,0.0305755,0.00342355,0,0,2696,228,666,0.857721,0.922016,0.801809,0.858775,0.422857,0.0179458,0.00297798,0,0,0.00634322,0.00634322,0.00634322,0,0,0,0,0,0,0,0,0,0
46,0.0299084,0.00332639,0,0,2735,215,627,0.866595,0.927118,0.81349,0.862184,0.424209,0.0177674,0.00295492,0,0,0.00620396,0.00620396,0.00620396,0,0,0,0,0,0,0,0,0,0
47,0.0300244,0.00337002,0,0,2717,258,645,0.857518,0.913311,0.80815,0.838962,0.409917,0.0177344,0.00292555,0,0,0.006064,0.006064,0.006064,0,0,0,0,0,0,0,0,0,0
48,0.029463,0.00337473,0,0,2704,199,658,0.863296,0.931462,0.804427,0.864405,0.424565,0.0177842,0.00294499,0,0,0.00592349,0.00592349,0.00592349,0,0,0,0,0,0,0,0,0,0
49,0.0297556,0.00338922,0,0,2772,201,590,0.875132,0.932391,0.824499,0.870723,0.431475,0.0175535,0.00288808,0,0,0.00578256,0.00578256,0.00578256,0,0,0,0,0,0,0,0,0,0
50,0.0291766,0.00335272,0,0,2741,209,621,0.868515,0.929177,0.815289,0.87155,0.431757,0.0175139,0.00289936,0,0,0.00564135,0.00564135,0.00564135,0,0,0,0,0,0,0,0,0,0
51,0.0291568,0.00334525,0,0,2768,248,594,0.867965,0.917769,0.823287,0.861971,0.429902,0.0174907,0.0029252,0,0,0.0055,0.0055,0.0055,0,0,0,0,0,0,0,0,0,0
52,0.0292229,0.00328996,0,0,2791,206,571,0.877847,0.931345,0.830161,0.881922,0.437852,0.0175428,0.00284064,0,0,0.00535865,0.00535865,0.00535865,0,0,0,0,0,0,0,0,0,0
53,0.0287678,0.00326798,0,0,2789,207,573,0.877385,0.931055,0.829566,0.88168,0.441911,0.0174996,0.0028264,0,0,0.00521744,0.00521744,0.00521744,0,0,0,0,0,0,0,0,0,0
54,0.0284695,0.00324984,0,0,2806,220,556,0.878505,0.927259,0.834622,0.880736,0.440475,0.0174518,0.00281364,0,0,0.00507651,0.00507651,0.00507651,0,0,0,0,0,0,0,0,0,0
55,0.028443,0.00321026,0,0,2827,237,535,0.879837,0.922593,0.840869,0.875868,0.438469,0.0174153,0.0027836,0,0,0.004936,0.004936,0.004936,0,0,0,0,0,0,0,0,0,0
56,0.0285401,0.00322886,0,0,2781,162,581,0.882113,0.944949,0.827112,0.886534,0.446464,0.0173022,0.00277864,0,0,0.00479604,0.00479604,0.00479604,0,0,0,0,0,0,0,0,0,0
57,0.0282441,0.00317451,0,0,2877,195,485,0.894284,0.93652,0.855694,0.888781,0.442814,0.0174268,0.00273307,0,0,0.00465678,0.00465678,0.00465678,0,0,0,0,0,0,0,0,0,0
58,0.028367,0.00327159,0,0,2863,228,499,0.887337,0.926232,0.851576,0.888033,0.448046,0.017279,0.00275408,0,0,0.00451836,0.00451836,0.00451836,0,0,0,0,0,0,0,0,0,0
59,0.0278164,0.00321867,0,0,2866,205,496,0.891062,0.93325,0.852523,0.893234,0.44869,0.017218,0.00275551,0,0,0.0043809,0.0043809,0.0043809,0,0,0,0,0,0,0,0,0,0
60,0.027593,0.00312613,0,0,2858,167,504,0.894888,0.944672,0.850089,0.893608,0.447973,0.0171228,0.00272564,0,0,0.00424454,0.00424454,0.00424454,0,0,0,0,0,0,0,0,0,0
61,0.0272269,0.00307116,0,0,2902,215,460,0.895883,0.931032,0.863291,0.895296,0.452172,0.0170899,0.00269578,0,0,0.00410942,0.00410942,0.00410942,0,0,0,0,0,0,0,0,0,0
62,0.0276361,0.00309129,0,0,2892,184,470,0.898365,0.94007,0.860202,0.896474,0.456028,0.0169851,0.00268736,0,0,0.00397568,0.00397568,0.00397568,0,0,0,0,0,0,0,0,0,0
63,0.0276368,0.00306129,0,0,2901,191,461,0.898938,0.938142,0.862879,0.898251,0.45347,0.0170048,0.00268107,0,0,0.00384344,0.00384344,0.00384344,0,0,0,0,0,0,0,0,0,0
64,0.0268195,0.00305871,0,0,2917,191,445,0.901755,0.938552,0.867734,0.900199,0.454146,0.017027,0.00266458,0,0,0.00371283,0.00371283,0.00371283,0,0,0,0,0,0,0,0,0,0
65,0.0268595,0.00299749,0,0,2897,176,465,0.900375,0.942726,0.861666,0.901741,0.457886,0.0169489,0.0026487,0,0,0.00358399,0.00358399,0.00358399,0,0,0,0,0,0,0,0,0,0
66,0.0269419,0.00303678,0,0,2931,203,431,0.902396,0.935226,0.871793,0.902917,0.45967,0.0168698,0.00263936,0,0,0.00345704,0.00345704,0.00345704,0,0,0,0,0,0,0,0,0,0
67,0.0267876,0.00302534,0,0,2914,157,448,0.905981,0.948879,0.866794,0.906846,0.459027,0.0168139,0.00263318,0,0,0.00333211,0.00333211,0.00333211,0,0,0,0,0,0,0,0,0,0
68,0.0264386,0.00297172,0,0,2941,182,421,0.906991,0.941668,0.874777,0.908846,0.460285,0.0168131,0.00261722,0,0,0.00320931,0.00320931,0.00320931,0,0,0,0,0,0,0,0,0,0
69,0.0262808,0.00298579,0,0,2930,167,432,0.90719,0.94607,0.871381,0.905088,0.45947,0.0167933,0.00260582,0,0,0.00308878,0.00308878,0.00308878,0,0,0,0,0,0,0,0,0,0
70,0.0255425,0.00297245,0,0,2919,149,443,0.907896,0.951356,0.868233,0.906211,0.465153,0.016712,0.00259689,0,0,0.00297062,0.00297062,0.00297062,0,0,0,0,0,0,0,0,0,0
71,0.025842,0.00294843,0,0,2914,142,448,0.90801,0.953399,0.866746,0.907404,0.464241,0.0167555,0.00259554,0,0,0.00285497,0.00285497,0.00285497,0,0,0,0,0,0,0,0,0,0
