               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.042305,           0.0029811,                   0,             0.86721,             0.68769,             0.75011,             0.32224,            0.044089,           0.0021659,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.041904,           0.0029657,                   0,              0.8959,             0.69631,             0.76188,             0.33455,            0.043557,           0.0021105,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.041472,           0.0029828,                   0,             0.86946,             0.73022,             0.77719,             0.34239,            0.043228,           0.0020324,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.041471,            0.002993,                   0,             0.87308,             0.71412,             0.76545,             0.33291,            0.043783,            0.002059,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.041396,           0.0029815,                   0,             0.88873,             0.70821,              0.7649,             0.32695,            0.044063,           0.0020436,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.041406,           0.0029885,                   0,             0.86685,             0.71654,             0.76264,              0.3275,            0.043785,           0.0021154,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.041289,           0.0029434,                   0,             0.84206,             0.72427,             0.75804,             0.32714,            0.044162,           0.0020938,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.041302,           0.0029197,                   0,             0.87604,             0.71059,             0.75363,              0.3255,            0.044289,           0.0020844,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.040785,           0.0029077,                   0,             0.86838,             0.69869,             0.74877,             0.32493,            0.044799,           0.0020977,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.041154,           0.0028924,                   0,             0.87574,             0.69482,             0.75134,              0.3314,            0.044049,           0.0020576,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.040696,            0.002898,                   0,             0.86051,             0.71565,             0.76178,             0.33982,            0.043435,           0.0020604,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.040579,           0.0028654,                   0,             0.86167,             0.71713,             0.76148,             0.33189,            0.043885,           0.0020335,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.040762,           0.0029029,                   0,             0.85297,             0.72844,             0.76576,             0.33576,             0.04388,           0.0020661,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.040399,           0.0028199,                   0,             0.87044,             0.72219,             0.76972,             0.34328,            0.043663,           0.0020156,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.040356,           0.0028715,                   0,             0.87113,             0.72457,             0.77166,             0.34417,            0.043754,            0.002007,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.040316,           0.0028089,                   0,             0.85917,             0.72039,             0.76913,             0.34343,            0.043884,           0.0020098,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.040304,           0.0028439,                   0,             0.88044,              0.7207,              0.7723,             0.34703,            0.043524,            0.001997,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.040133,           0.0028064,                   0,             0.86931,             0.72811,             0.77546,              0.3455,            0.043696,           0.0020169,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.039954,           0.0027889,                   0,             0.86757,             0.71951,             0.76551,             0.34024,            0.043658,           0.0020603,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.040121,           0.0028193,                   0,              0.8412,             0.73319,             0.76513,             0.34037,            0.043628,           0.0020693,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.039843,           0.0028108,                   0,             0.86558,              0.7204,             0.76649,             0.33941,            0.043719,           0.0020402,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.039574,           0.0027995,                   0,             0.85798,             0.73171,             0.76888,             0.34387,            0.043704,           0.0020051,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.039663,            0.002799,                   0,             0.88559,             0.71446,             0.77395,             0.34695,            0.043553,            0.001994,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.039173,           0.0027419,                   0,             0.86784,             0.72264,             0.77399,             0.34794,            0.043325,           0.0020068,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.039406,           0.0027442,                   0,             0.86081,             0.73855,             0.78138,             0.34841,            0.043272,           0.0019986,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.039239,           0.0027125,                   0,             0.87323,             0.72963,             0.78386,             0.35117,            0.043181,           0.0019861,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.039048,           0.0027431,                   0,             0.86873,             0.72835,             0.78112,             0.34875,             0.04332,           0.0019742,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.039101,           0.0027193,                   0,             0.87628,             0.72576,             0.77839,              0.3462,            0.043457,           0.0019736,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.038647,           0.0027473,                   0,             0.87603,             0.73409,             0.78673,             0.35189,            0.043116,           0.0019552,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.038855,           0.0027803,                   0,             0.87273,             0.73438,             0.78729,             0.35124,            0.043176,           0.0019633,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.038452,           0.0026719,                   0,             0.86348,             0.74569,             0.78882,             0.35214,            0.043141,           0.0019546,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.038829,           0.0027382,                   0,             0.89849,             0.72219,             0.78872,             0.35357,            0.043121,           0.0019498,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.038423,           0.0026899,                   0,             0.87473,             0.73557,              0.7873,             0.35358,            0.043152,           0.0019546,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.038324,           0.0026441,                   0,             0.85734,             0.74955,             0.79047,             0.35546,            0.043026,           0.0019478,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.038089,           0.0027164,                   0,             0.86105,             0.74647,             0.79309,             0.35791,             0.04299,           0.0019443,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.037949,           0.0026878,                   0,             0.86788,              0.7445,             0.79467,             0.35898,            0.042809,           0.0019456,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.03777,           0.0026416,                   0,             0.86664,             0.74033,             0.79004,             0.35629,            0.042973,           0.0019474,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.03804,           0.0026191,                   0,             0.87024,             0.73609,             0.78823,             0.35662,             0.04303,           0.0019464,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.037745,           0.0025936,                   0,              0.8584,             0.74509,             0.78969,             0.35569,            0.043012,           0.0019466,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.037362,           0.0026127,                   0,             0.85025,             0.75152,             0.78996,             0.35501,             0.04305,           0.0019476,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.037318,            0.002599,                   0,             0.85717,             0.74795,             0.79244,             0.35604,            0.043014,           0.0019464,                   0,            0.000298,            0.000298,            0.000298
